신청날짜,사업장,품목코드,품목,수량,단가,금액
2019-01-11,천안,MF4-458,ANGLE,40,32000 ,1280000 
2019-07-30,천안,MF6-095,ONE-TOUCH FITTING,12,59000 ,708000 
2019-11-19,천안,MF4-721,건전지,6,2400 ,14400 
2019-06-13,천안,MF1-089,INSULATION TAPE,41,27000 ,1107000 
2019-05-04,천안,MF9-852,종이컵,9,6000 ,54000 
2019-09-04,천안,MF1-152,강관방청유(내측),25,540000 ,13500000 
2019-01-28,천안,MF3-836,Pipe,43,530000 ,22790000 
2019-08-22,천안,MF1-860,용접장갑,28,38000 ,1064000 
2019-03-26,천안,MF6-418,화장지,27,4700 ,126900 
2019-07-01,천안,MF2-829,와샤,27,60000 ,1620000 
2019-06-11,천안,MF6-562,MOTOR,13,30000 ,390000 
2019-07-20,천안,MF7-380,PAINT,31,77000 ,2387000 
2019-10-14,천안,MF8-800,절연판,45,45000 ,2025000 
2019-07-01,천안,MF6-740,필기구류,17,1500 ,25500 
2019-01-12,천안,MF7-997,윤활유,30,2000000 ,60000000 
2019-11-05,천안,MF3-259,커터기,14,7000 ,98000 
2019-01-08,천안,MF9-219,BRACKER SWITCH,21,10000 ,210000 
2019-11-13,천안,MF1-704,붓,34,3000 ,102000 
2019-06-04,천안,MF5-505,절연판,36,45000 ,1620000 
2019-10-08,천안,MF8-869,MOLD SPRING,44,30000 ,1320000 
2019-01-10,천안,MF6-291,안전장비A,43,76800 ,3302400 
2019-03-27,천안,MF4-360,구리스,19,330000 ,6270000 
2019-11-07,천안,MF5-413,강관방청유(외측),40,860000 ,34400000 
2019-05-09,천안,MF8-466,백관,9,56000 ,504000 
2019-01-10,천안,MF3-137,BITE,22,86000 ,1892000 
2019-12-07,천안,MF5-861,청소용구A,24,13000 ,312000 
2019-08-16,천안,MF2-674,PACKING PARTS,3,260000 ,780000 
2019-08-24,천안,MF1-037,BOLT,18,3000 ,54000 
2019-01-12,천안,MF1-631,청소용구E,15,52000 ,780000 
2019-03-05,천안,MF4-917,청소용구,17,8000 ,136000 
2019-02-17,천안,MF1-424,LINE TAPE,26,30000 ,780000 
2019-09-16,천안,MF8-515,마크펜,26,3000 ,78000 
2019-11-11,천안,MF6-246,강관조관유,19,330000 ,6270000 
2019-10-28,천안,MF6-274,MICRO METER,19,120000 ,2280000 
2019-05-14,천안,MF9-163,비닐,21,15500 ,325500 
2019-07-30,천안,MF1-331,PRESS 타발유,49,5700000 ,279300000 
2019-12-16,천안,MF9-104,BRUSH,36,3000 ,108000 
2019-11-30,천안,MF6-049,전선(동력선),34,9500 ,323000 
2019-01-13,천안,MF1-406,안전장비E,13,50000 ,650000 
2019-01-23,천안,MF9-002,경유,24,80000 ,1920000 
2019-05-28,천안,MF9-990,안전장비E,16,50000 ,800000 
2019-08-24,천안,MF8-264,수용성세척액,2,30000 ,60000 
2019-09-15,천안,MF1-700,RELAY SWITCH,2,13000 ,26000 
2019-07-30,천안,MF7-007,NUT,17,15000 ,255000 
2019-11-02,천안,MF7-560,BRUSH,26,3000 ,78000 
2019-09-19,천안,MF5-182,AL TAPE,20,15000 ,300000 
2019-08-25,천안,MF2-065,BOLT,49,3000 ,147000 
2019-04-06,천안,MF5-486,등산마스크,27,4000 ,108000 
2019-08-16,천안,MF3-060,탄화수소세척액,13,33000 ,429000 
2019-04-21,천안,MF2-015,목재,2,6700 ,13400 
2019-01-02,천안,MF2-746,백관,18,56000 ,1008000 
2019-11-22,천안,MF1-231,INSULATION TAPE,14,27000 ,378000 
2019-12-04,천안,MF3-318,붕산,20,7000 ,140000 
2019-08-12,천안,MF3-549,드라이바,3,8000 ,24000 
2019-07-26,천안,MF9-803,BOLT,22,3000 ,66000 
2019-12-11,천안,MF9-975,OPP TAPE,37,26000 ,962000 
2019-01-23,천안,MF2-709,청소용구A,34,13000 ,442000 
2019-02-28,천안,MF9-776,강관조관유,6,330000 ,1980000 
2019-09-25,천안,MF3-078,MOLD SPRING,44,30000 ,1320000 
2019-04-24,천안,MF6-695,안전장비D,37,21000 ,777000 
2019-11-11,천안,MF7-255,안전장비A,28,76800 ,2150400 
2019-06-03,천안,MF3-288,일반사무용품류,14,2100 ,29400 
2019-08-29,천안,MF4-684,작업복,41,1300000 ,53300000 
2019-11-20,천안,MF7-849,각관,33,230000 ,7590000 
2019-04-20,천안,MF6-146,종이컵,7,6000 ,42000 
2019-02-18,천안,MF7-145,각관,47,230000 ,10810000 
2019-03-11,천안,MF7-803,붕산,24,7000 ,168000 
2019-03-01,천안,MF2-740,붓,34,3000 ,102000 
2019-12-04,천안,MF8-591,수용성세척액,14,30000 ,420000 
2019-08-28,천안,MF5-240,INSERT TIP,32,30000 ,960000 
2019-01-27,천안,MF9-566,철사,7,20000 ,140000 
2019-10-14,천안,MF3-492,절연판,18,45000 ,810000 
2019-05-23,천안,MF3-753,ONE-TOUCH FITTING,18,59000 ,1062000 
2019-10-14,천안,MF1-078,COIL SPRING,19,200000 ,3800000 
2019-08-02,천안,MF3-876,BUTTOM DIE,8,42000 ,336000 
2019-04-08,천안,MF7-942,MOTOR,38,30000 ,1140000 
2019-12-22,천안,MF8-123,AIR MODULAR UNIT,46,78000 ,3588000 
2019-10-07,천안,MF9-134,S45C(판재),33,200000 ,6600000 
2019-12-15,천안,MF9-676,전산용품,31,55000 ,1705000 
2019-04-09,천안,MF7-741,LM BEARING,26,24000 ,624000 
2019-10-21,천안,MF3-280,스폰지,11,55000 ,605000 
2019-10-17,천안,MF2-704,철사,40,20000 ,800000 
2019-02-16,천안,MF7-019,에어건,18,20000 ,360000 
2019-11-21,천안,MF3-880,방진마스크,34,7000 ,238000 
2019-09-03,천안,MF7-435,LOCATION PIN,45,790000 ,35550000 
2019-06-12,천안,MF6-202,OPP TAPE,30,26000 ,780000 
2019-12-08,천안,MF1-284,청소용구E,1,52000 ,52000 
2019-01-05,천안,MF9-276,필기구류,41,1500 ,61500 
2019-06-13,천안,MF9-155,CABLE TIE,30,10000 ,300000 
2019-10-08,천안,MF3-311,FUSE,1,2000 ,2000 
2019-04-22,천안,MF3-542,기체질소,19,6800 ,129200 
2019-12-24,천안,MF5-150,S45C봉,19,70000 ,1330000 
