별점(평점),리뷰내용,작성일자,공감횟수,비공감횟수
10,생각없이 보러왔는데 겁나 우낌 막 엄청 스토리가 있는건아닌데 재밌음ㅋㅋ 입소문 날거같은 영화 말장난이 겁나우끼고 빵빵터짐ㅋㅋㅋ 공명 이 배우 겁나 기여움ㅋㅋ,2019.01.26 22:24,42,25
10,진짜 갯꿀잼 친구랑 또 보러갈꺼임 진짜 웃김 ㅠ 아 설명할 길이 없다 진선규 배우님 넘 멋짐 ㅠㅠㅠ 이하늬 짱 ㅠㅠㅠ,2019.01.23 19:34,44,27
10,영화관에서 이렇게 웃기는또 처음이네요. 진짜 재밋습니다!!,2019.01.24 04:30,45,28
10,처음시작해서 끝날때까지 웃다가 나왔네요5명모두 캐미가좋고 조연들도 재밌고 이병헌감독 특유의 대사표헌방식이 너무재밌어요오랫만에 정말 아무생각없이 즐겁게 웃으면서 본것같아요 ^^,2019.01.23 23:10,45,28
10,연기력에 출중한 배우들만 모여 합을 맞추니 어색함이 없었고 무엇보다 어디에서 관객의 웃음을 잘 유도할 수 있는지 인지하고 있는 몇 없는 한국 작품이었습니다. 배우들도 고생하셨겠지만 감독님 또한 존경스럽습니다 다음에도...,2019.07.24 03:57,19,3
10,처음부터 끝까지 진짜 재밌었다,2019.01.23 20:18,22,6
10,이건 미쳤다 시작부터 끝까지 킬링타임 어진다,2019.01.24 01:30,23,7
10,진짜개웃겼어요ㅋㅋㅋ 남친이랑헤어지고우울했는데 엄청웃었음ㅎㅎ,2019.01.24 01:30,23,7
10,뻔하다고 하면 뻔한 내용과 결말인데 너무 재밌었음. 그냥 2시간 생각없이 웃고 나올수 있는 영화,2019.01.24 01:20,21,6
10,올해 최고로 웃기고 액션까지 좋은영화~~인정!!!!,2019.01.23 21:54,21,6
10,ㅋㅋ공명 깨알 역할 톡톡 ㅋㅋㅋ,2019.01.31 13:16,22,7
10,진짜 그냥 막 웃었네요. ㅋ 막내 약쩔은 연기 지금 생각해도 빵 터짐,2019.01.27 22:03,22,7
10,가볍게 보기 좋은영화계속 웃었어요,2019.01.25 01:26,22,7
10,지금까지 이런맛은없었다 이것은 갈비인가 치킨인가,2019.01.24 17:25,22,7
10,지금까지~이런 영화는 없었다~~~ㅎㅎㅎ,2019.01.27 00:50,24,9
10,재밌었어요 수원왕갈비통닭 최고,2019.01.23 14:01,25,10
10,처음부터 끝까지 웃긴영화. 애드립인가 싶을정도로 끝나겠지 하는데도 웃겨줍니다. 진선규에 이어 마지막에 공명이랑 류승룡땜에 대박웃었네요. 또 보고싶은영화!,2019.01.31 19:12,26,11
10,개존잼입니다 크크크크ㅡ크크크,2019.01.23 18:03,26,11
10,"대놓고 웃긴 영화, 박장대소 하면서 즐겁게 봤습니다. 너무 즐거운 시간이였어요~",2019.01.24 17:20,27,12
10,끝날 때 까지 계속 웃었다.,2019.01.23 14:31,27,12
10,와하하하하너무재밌게 잘봤어요. ^^모든 배우분들 정말 재밌었어요.  기분좋게 극장을 나왔습니다.,2019.01.23 20:11,29,14
10,"쏴~~~끝까지 웃겼다는 점에서 요근래 본 한국 영화 가운데 단연 최고의 장르(?) 영화! 대사와 리액션이 탁월한 제대로 연출된 구강액션 코미디. 류승룡의 부활과 신하균 오정세 콤비, 진선규 공명의 의외의 반전 매력 ...",2019.01.31 06:52,30,15
10,111분 시간 가는줄 모르고 잼나게 봤어요.핵잼~눈물나도록 웃었어요~^^,2019.01.23 21:05,30,15
10,진짜 진짜 너무 재밋어요 꼭보세요,2019.01.23 19:33,30,15
10,애기낳고 6갤만에영화진짜 진선규 공명 짱귀두시간동안 애기 까먹고 웃다왔음 천만넘기를,2019.01.26 00:21,31,16
10,줄거리가 다 예상가능하지만 연기로 채운 재미 굿입니다,2019.01.23 14:44,31,16
10,모든배우를다시보게됨 공명..드라마보고안좋아했는데영화보고팬됨 내가누군지아니 하늬님도완전사랑하게됐음 진선규님 와~~역활찰떡ㅎㅎ이동희 뭔가멋짐♡류승룡전편영화보고헉했는데역쉬굿굿,2019.01.26 00:07,32,17
10,스트레스 받으신분들 꼭 보세요 ㅋㅋ 천만각이다 ㅋㅋ,2019.01.23 21:52,32,17
10,굿 삼류영화 아님볼만함,2019.01.23 21:51,33,18
10,ㅋㅋㅋ 진짜 실관람평인데 끝날때까지 웃다가 나오네요 ㅋㅋㅋㅋ 꼭 봐요 ㅋㅋㅋ 하 여친이랑 진짜 후회없이봤네옄ㅋㅋ 개꿀잼ㅋㅋㅋ,2019.01.23 21:37,36,21
10,요근래 본것중에 제일 재미있었다존잼!! 공명 흥하라!!,2019.01.26 02:58,37,22
10,진심 재밌고 웃겨요 ㅠㅠㅠㅠ  짱이였엉,2019.07.24 22:18,17,3
10,좋아요 아주 즐겁게 분 영화에요,2019.07.24 14:40,17,3
10,"이제는 이런 영화도 좋다. 끝임없이 터지는 개그, 배우들의 열연이 조금 허술한 스토리, 유치할 수 있을 뻔한 영화를 살렸다.",2019.07.23 10:15,17,3
10,제가 원래 한국코미디영화는 극혐하는 편인데  요건 최고네여,2019.07.23 01:33,17,3
10,쉴틈이 없었다 총좀빌려줘 쏴,2019.01.23 21:08,18,4
10,영화 시작하는 순간부터 나올때까지 웃느라 배에 근육경련이 왔네요 ㅋㅋ 꿀잼!!!,2019.01.23 20:44,18,4
10,대박ㅡ영화ㅡ넘 넘 잼나고 강추,2019.07.23 18:42,15,2
10,진짜 완전 재미잇게 봣어요 굳,2019.07.24 22:15,16,3
10,류승룡 진선규 이하늬 이동휘 님 물론 쩌는연기였지만 워낙 연기로 정평 나있는분들이니 그렇다쳐도 저는 공명 님  의 재발견이라생각해요 이정도로 임펙트 있는 코믹연기를 소화 해내실줄이야 .1 정말  재밌게 잘 봤습니다,2019.02.01 13:12,18,5
10,진짜 꼭보셈 예고편 너무 재밌어서 저정도까진 아니겠지하고 기대안하고봤는디 기대이상..,2019.01.24 01:30,18,5
10,오늘 보고왔는데!! 재미있어요!! 구냥 가서 웃으면 되용,2019.01.23 21:59,18,5
10,공명 너무 귀여워ㅠㅠㅠ,2019.02.01 16:05,20,7
10,간만에 영화 보고 스트레스 확 풀림ㅠㅠ 잼따,2019.01.23 12:41,20,7
10,생각할 거 많아 머리 복잡스러운데 아무 생각없이 보며 미친듯이 웃었네요. 제 웃음코드랑은 딱입니다!,2019.01.24 19:07,21,8
10,감동1도없이 계속 웃겨요 끝까지코믹영화란  이래야지요,2019.01.24 01:25,21,8
10,핵잼이었습니다!!’진짜 또봐도 되는 영화,2019.08.14 20:29,24,11
10,와 12000원 아깝지않다 존잼 억지웃음도 아니고 ㅎㅎㅎ오늘 치맥  각ㅋ ㅋ 존잼,2019.01.24 18:53,26,13
10,공명 약빨고 싸울때 진짜 개웃교요 ㅋㅋ,2019.02.06 19:19,13,1
10,배우들이 원래 믿고보는 분들이라 기대하고갔는데 역시 연기 정말 잘 하시고 몰입도가 너무 좋았어요 ㅜㅠ 스토리진행도 뭔가 막장이 아닌 탄탄하게 진행되는 것 같아서 좋았어요 특히 공명 너무 귀엽고 앞으로 티비에서도 자주...,2019.02.05 18:10,13,1
10,걍 웃김 진짜 레알 웃김류승룡 이하늬 진선규 이동휘 공명 연기 쩜,2019.02.05 10:53,13,1
10,진짜 개웃겨요 공명 귀여워...,2019.02.03 13:20,13,1
10,재밌게본 한국영화 였습니다!,2021.11.30 15:50,14,2
10,잡으러 가도 됩니까아!! 어 기다려ㅋ,2019.01.31 19:56,14,2
10,다섯 배우님과 감독님 케미가 최고예요!!진짜 재밌었어요.,2019.01.29 16:58,14,2
10,역시류승룡이야 너무 재밌어요,2019.07.23 14:51,15,3
10,마지막에 야구부 스핀돌기땜에 10점준다,2019.02.03 02:15,15,3
10,공명이 이렇게 연기 잘하는 배우였다니..,2019.02.02 01:43,15,3
10,"최곱니다 정말!! 웃겨서 눈물나는 영화 오랜만이네요 퇴직금, 안아파, 쏴버려는 진짜..울었네",2019.01.31 19:53,15,3
10,공명 배우의  깨알 연기  넘 귀여웠어요~~^^주연 배우 다섯분의  연기와  신하균 오정세씨의 짧지만  명연기에  엄지척!!웃음 빵빵~가는 시간이 넘 아쉬웠어요넘 캐스팅이  잘 된 듯 해요~~♡♡♡1000 만 응원합...,2019.01.27 21:50,15,3
10,편하고 부담없이 끝까지 웃기는 영화,2019.01.25 01:32,15,3
10,빵빵 터져요 너뮤 재밌음요 ㅠㅠㅠㅠ,2019.01.24 04:43,15,3
10,두말하면잔소리 너무너무 잘 보고왔어요,2019.07.25 19:44,16,4
10,간만에 한국영화 제대로 봤네ㅋㅋ,2019.01.24 01:29,16,4
10,공명이란 배우를 발견 할수있었고 전부 케미가 잘맞었어요 ! 이하늬도 너무 예쁩니다...,2019.01.31 20:16,18,6
10,천만 가자^^재미보장. 내용도 있다,2019.01.27 00:50,19,7
10,극장가서 이렇게 대놓고 웃긴첨이다ㅋㅋ,2019.01.25 01:18,20,8
10,웃다 배찢어짐. 회사스트레스 다풀림.ㅋㅋㅋ 킬링타임용,2019.01.24 21:42,20,8
10,"여러분 존,나재밌어요 진짜로 꼭봐요 하 또보고시퍼요 레알",2019.01.25 01:27,21,9
10,5인 모두 최고.웃다 울음,2019.01.24 17:16,21,9
10,방금 보고왔는데 치킨을 기준으로 소재를 만들어서 뻔하면서도 기상천외한 내용으로 나온 영화네요!! 너무 웃겨서 크게 엄청 웃고싶었습니다 ...만 영화관이라 자제했어요 배우분들 케미도 좋고 연기못하는사람이 없고 재밌습니...,2019.01.23 21:05,21,9
10,ㅋㅋㅋ역대급 그냥 겁나 웃김 지루할 틈이 없음 ㅠㅠㅠㅠ,2019.01.23 14:37,21,9
10,재미있게 잘봤습니다!,2019.01.23 14:22,21,9
10,첨부터 끝까지 재밌었음 진짜 후회안함 천만 찍을듯,2019.01.23 13:03,22,10
10,진짜 제일 재밌어요 짱짱 계속 다시 보고싶을 정도,2019.08.17 22:31,24,12
10,난 막내형사(공명)가 너무 웃기던데..ㅋㅋ,2019.01.27 22:27,24,12
10,대박 천만영화다~~~~,2019.01.24 01:17,24,12
10,진짜 살면서 처음으로 영화 후기 남기는데 보는 내내 웃는 시간이 더 많았던거 같음 알바 아니고 리얼루다가 아무리 무미건조한 사람이라도 열댓번은 웃을거 같음,2019.01.24 01:07,24,12
10,간만에 극장에서많이 웃고 나와용 배우들 각자 매력적이양,2019.01.23 20:20,24,12
10,엄청 웃다왔네요 공명ㅋㅋ,2019.01.26 21:44,25,13
10,정말 재밌게 봤습니다~,2019.01.23 18:15,26,14
10,3분에 한번씩은 터진다,2019.01.24 04:57,27,15
10,너무재밌어요ㅎㅎ 개인적으로 공명배우님 너무 웃겼어요ㅎ,2019.01.27 12:52,28,16
10,진심 웃기려고 작정한 영화,2019.01.24 01:22,28,16
10,진짜 개재밌다.공명은 별로 웃기다가 후반부부터 캐리,2019.01.25 07:19,29,17
10,"공명 ""안 아퍼""가 머릿속에 계속 떠오름ㅋㅋ",2019.02.06 23:24,11,0
10,완전 웃기네ㅋㅋㅋㅋ공명 트리플악셀 잘봤습니다ㅋㅋ,2019.02.06 22:44,11,0
10,너무 웃다가 나왔어요ㅋㅋ 공명 최고,2019.02.06 19:16,11,0
10,신파요소 없이 깔끔하게 끝나서 너무 좋았고 배우들 연기가 진짜 대박이네요 이하늬님 연기도 다시 봤고 진선규님은 진짜 대박 ㅋㅋ 류승룡 이동휘 공명 다들 말할것도 없이 너무 좋았어요 요즘 코미디 영화라고 해도 하나도 ...,2019.02.05 18:16,11,0
10,그냥 계속 웃다가 나옴 ㅋㅋ 그걸로 만족! 진선규님 공명님 너무 귀여우심 ㅠㅠㅠ,2019.02.03 14:23,11,0
10,공명 연기 너무 최고였다 오늘 또 보러 갈 예정입니다. 극한직업 천만 화이팅!,2019.02.05 12:25,12,1
10,예고편이 전부 일 수 있다고 걱정했는데..배땡기게 웃다가 나왔습니다.,2019.01.24 06:49,13,2
10,웃다가 나왔네요~처음부터 끝까지 웃음이 퐝퐝^^,2019.01.23 20:44,13,2
10,정말 소소하게 재미있었습니다,2019.07.23 18:19,14,3
10,마지막에 막내가 맞을때가 제일 웃겻음 ㅋㅋ,2019.02.02 00:42,15,4
10,진짜 재밌는듯ㅋㅋㅋㅋ나는 공명이 최고로 웃겼다ㅋ,2019.01.31 02:11,15,4
10,개 존 잼 진짜시간가는줄모름,2019.01.27 02:27,15,4
10,진짜 너무너무 재밋어요 계속 사람들 웃음소리밖에 안둘려ㅛㅡ요,2019.01.25 01:43,15,4
